"Points:0","Points:1","Points:2","Q-criterion","U:0","U:1","U:2"
0.065207,-0.032198,0.03,-125.73,0.025249,0.029434,-2.9814e-21
0.065324,-0.032272,0.03,-118.8,0.027,0.028226,2.5847e-23
0.065433,-0.032336,0.03,-98.825,0.029023,0.02681,3.4565e-23
0.065534,-0.032391,0.03,-92.718,0.031346,0.02512,-1.2616e-21
0.06563,-0.032436,0.03,18.129,0.034413,0.022919,-5.006e-22
0.06572,-0.032472,0.03,77.587,0.037593,0.02038,-7.219e-22
0.065807,-0.032504,0.03,571.02,0.04199,0.01681,5.8172e-24
0.065895,-0.032546,0.03,6808.6,0.043,0.015196,-3.1156e-23
0.06597,-0.032622,0.03,-749.54,0.036781,0.0095383,2.8459e-23
0.06603,-0.032768,0.03,-9842.2,0.052274,0.012066,4.567e-22
0.065929,-0.032945,0.03,18069,0.12665,-0.0052878,8.5569e-24
0.065765,-0.032974,0.03,22640,0.18148,-0.038425,0
0.06451,-0.031964,0.03,577.25,0.028808,0.02701,2.4119e-22
0.064515,-0.031956,0.03,566.09,0.022008,0.031308,5.2048e-14
0.064674,-0.032081,0.03,583.08,0.036966,0.022058,-1.225e-22
0.064823,-0.03219,0.03,621.12,0.046809,0.016103,-1.2009e-21
0.064956,-0.032292,0.03,690.34,0.058567,0.0090593,6.4092e-22
0.065075,-0.032388,0.03,835.2,0.072427,0.00090364,-2.0805e-23
0.065181,-0.032479,0.03,1101.3,0.088452,-0.0082538,6.9507e-22
0.065273,-0.032566,0.03,1617.3,0.10652,-0.018129,-3.7105e-22
0.065353,-0.032651,0.03,2248.4,0.12611,-0.0281,7.5266e-24
0.06542,-0.032735,0.03,2920.4,0.14618,-0.037354,-4.7434e-22
0.06548,-0.032819,0.03,3849.5,0.16463,-0.044582,-3.3718e-22
0.065547,-0.0329,0.03,4734.7,0.17999,-0.048865,-3.5135e-22
0.065641,-0.032971,0.03,10076,0.18905,-0.049123,-1.1109e-22
0.064941,-0.03202,0.03,-140.44,0.022052,0.031602,5.2048e-14
0.064947,-0.032012,0.03,-145.08,0.023656,0.030371,8.7364e-22
0.065086,-0.032105,0.03,-133.68,0.025334,0.029237,-1.9448e-22
0.065214,-0.032188,0.03,-127.13,0.027129,0.028013,9.7791e-22
0.065333,-0.03226,0.03,-117.88,0.029121,0.026633,2.8361e-23
0.065443,-0.032322,0.03,-85.716,0.03147,0.024984,-6.0476e-22
0.065546,-0.032374,0.03,-72.081,0.034209,0.022979,-1.2603e-21
0.065644,-0.032416,0.03,76.552,0.03779,0.020392,-9.2307e-23
0.065736,-0.032449,0.03,300.31,0.041543,0.017414,-7.2327e-23
0.065827,-0.032481,0.03,928.62,0.045979,0.013597,-3.5749e-23
0.065919,-0.032528,0.03,6268.1,0.046408,0.01226,5.0731e-23
0.065994,-0.032616,0.03,-1048.3,0.038457,0.0080562,3.7757e-22
0.066048,-0.032774,0.03,-7420.8,0.054842,0.011348,-2.7841e-24
0.065943,-0.032961,0.03,16317,0.13208,-0.0066732,1.6487e-23
0.065771,-0.033003,0.03,18875,0.18808,-0.040077,-4.63e-23
0.064323,-0.031845,0.03,543.31,0.028317,0.027136,-1.8596e-22
0.064328,-0.031837,0.03,533.44,0.021926,0.031179,5.2048e-14
0.064504,-0.031973,0.03,546.88,0.035983,0.022502,9.3349e-22
0.064668,-0.032092,0.03,575.46,0.045209,0.01693,4.9683e-24
0.064815,-0.032202,0.03,624.15,0.056211,0.010331,3.2263e-24
0.064947,-0.032306,0.03,713,0.06917,0.0026691,5.6927e-22
0.065065,-0.032404,0.03,887.52,0.084179,-0.0060001,7.1869e-22
0.065168,-0.032497,0.03,1181.5,0.10116,-0.015452,-9.7457e-22
0.065258,-0.032587,0.03,1665.3,0.11979,-0.025267,3.1511e-23
0.065335,-0.032676,0.03,2175.7,0.13933,-0.034711,-3.4317e-22
0.065399,-0.032765,0.03,2614.6,0.15847,-0.042914,2.4774e-22
0.06546,-0.032853,0.03,3263.9,0.17521,-0.048755,2.446e-22
0.065533,-0.032937,0.03,3956.9,0.18861,-0.051624,3.0022e-22
0.065638,-0.033007,0.03,8035.6,0.19614,-0.050858,2.9953e-22
0.064795,-0.031907,0.03,-149.69,0.021974,0.031501,2.6024e-14
0.064801,-0.0319,0.03,-154.94,0.023679,0.030193,8.7561e-24
0.064954,-0.032003,0.03,-142.29,0.025442,0.029009,1.7574e-21
0.065094,-0.032095,0.03,-136.55,0.02729,0.027759,9.558e-22
0.065223,-0.032176,0.03,-128.57,0.029311,0.026379,9.7566e-22
0.065343,-0.032246,0.03,-115.65,0.031601,0.02479,3.6231e-23
0.065455,-0.032306,0.03,-67.694,0.034342,0.022862,-3.3454e-23
0.06556,-0.032355,0.03,-38.342,0.037587,0.020482,5.866e-22
0.065659,-0.032394,0.03,143.25,0.041749,0.017458,5.1242e-22
0.065755,-0.032424,0.03,541.13,0.046073,0.014072,-3.5587e-23
0.06585,-0.032456,0.03,1213,0.05038,0.010157,4.5523e-22
0.065945,-0.032511,0.03,5575.7,0.049981,0.0093157,-7.4152e-23
0.06602,-0.03261,0.03,-1377.8,0.040264,0.0066738,4.2391e-22
0.066068,-0.032781,0.03,-5527.6,0.057568,0.010681,5.7779e-23
0.065957,-0.032977,0.03,14655,0.13731,-0.0079302,7.9296e-24
0.065779,-0.033033,0.03,15777,0.19401,-0.041381,8.7462e-24
0.064118,-0.031715,0.03,511.85,0.027847,0.027233,7.7105e-22
0.064123,-0.031707,0.03,503.04,0.021836,0.031037,5.2048e-14
0.064317,-0.031854,0.03,514.23,0.035059,0.022895,-7.3298e-22
0.064497,-0.031983,0.03,537.16,0.043719,0.017678,8.2959e-22
0.06466,-0.032103,0.03,571.67,0.05403,0.011494,1.3268e-23
0.064806,-0.032216,0.03,632.48,0.066168,0.0042939,6.0234e-22
0.064937,-0.032321,0.03,739.68,0.080238,-0.0038955,-8.3008e-24
0.065053,-0.032421,0.03,934.7,0.096219,-0.012924,-6.3128e-22
0.065154,-0.032518,0.03,1233.2,0.11387,-0.02245,-3.7178e-22
0.065241,-0.032612,0.03,1641.3,0.13269,-0.031939,5.1088e-23
0.065314,-0.032705,0.03,2002.9,0.15172,-0.040599,5.0915e-23
0.065376,-0.032798,0.03,2255.7,0.16955,-0.047585,3.0761e-22
0.065438,-0.03289,0.03,2686.4,0.18447,-0.05205,5.5681e-22
